2024-04-10 20:29:03,686 file: tool_utils.py func: tool_utils line No: 73 log will be stored in /home/chaowu/05_projects/02_YOLOv8/ultralytics/00_horizon_convert/hb_mapper_checker.log
2024-04-10 20:29:03,686 file: hb_mapper.py func: hb_mapper line No: 68 Start hb_mapper....
2024-04-10 20:29:03,686 file: hb_mapper.py func: hb_mapper line No: 69 hbdk version 3.46.4
2024-04-10 20:29:03,686 file: hb_mapper.py func: hb_mapper line No: 70 horizon_nn version 0.19.3
2024-04-10 20:29:03,686 file: hb_mapper.py func: hb_mapper line No: 71 hb_mapper version 1.18.2
2024-04-10 20:29:03,723 file: helper.py func: helper line No: 145 Model input names: ['images']
2024-04-10 20:29:03,725 file: hb_mapper_checker.py func: hb_mapper_checker line No: 103 Model type: onnx
2024-04-10 20:29:03,725 file: hb_mapper_checker.py func: hb_mapper_checker line No: 104 march: bayes
2024-04-10 20:29:03,725 file: hb_mapper_checker.py func: hb_mapper_checker line No: 109 input names []
2024-04-10 20:29:03,725 file: hb_mapper_checker.py func: hb_mapper_checker line No: 110 input shapes {}
2024-04-10 20:29:03,725 file: hb_mapper_checker.py func: hb_mapper_checker line No: 116 Begin model checking....
2024-04-10 20:29:03,736 file: build.py func: build line No: 34 [Wed Apr 10 20:29:03 2024] Start to Horizon NN Model Convert.
2024-04-10 20:29:03,736 file: model_debug.py func: model_debug line No: 61 Loading horizon_nn debug methods:[]
2024-04-10 20:29:03,736 file: hbdk_dict_parser.py func: hbdk_dict_parser line No: 36 Parsing the hbdk parameter:{'hbdk_pass_through_params': '--O0'}
2024-04-10 20:29:03,736 file: build.py func: build line No: 140 HorizonNN version: 0.19.3
2024-04-10 20:29:03,736 file: build.py func: build line No: 144 HBDK version: 3.46.4
2024-04-10 20:29:03,736 file: build.py func: build line No: 34 [Wed Apr 10 20:29:03 2024] Start to parse the onnx model.
2024-04-10 20:29:03,898 file: onnx_parser.py func: onnx_parser line No: 129 Input ONNX model infomation:
ONNX IR version:          6
Opset version:            [11, 1]
Producer:                 pytorch2.1.1
Domain:                   none
Input name:               images, [1, 3, 640, 640]
Output name:              output0, [1, 64, 80, 80]
Output name:              331, [1, 64, 40, 40]
Output name:              345, [1, 64, 20, 20]
Output name:              324, [1, 80, 80, 80]
Output name:              338, [1, 80, 40, 40]
Output name:              352, [1, 80, 20, 20]
2024-04-10 20:29:03,997 file: build.py func: build line No: 37 [Wed Apr 10 20:29:03 2024] End to parse the onnx model.
2024-04-10 20:29:04,164 file: build.py func: build line No: 428 Saving the original float model: ./.hb_check/original_float_model.onnx.
2024-04-10 20:29:04,166 file: build.py func: build line No: 34 [Wed Apr 10 20:29:04 2024] Start to optimize the model.
2024-04-10 20:29:04,516 file: build.py func: build line No: 37 [Wed Apr 10 20:29:04 2024] End to optimize the model.
2024-04-10 20:29:04,667 file: build.py func: build line No: 452 Saving the optimized model: ./.hb_check/optimized_float_model.onnx.
2024-04-10 20:29:04,668 file: build.py func: build line No: 34 [Wed Apr 10 20:29:04 2024] Start to calibrate the model.
2024-04-10 20:29:04,799 file: calibration_data_set.py func: calibration_data_set line No: 89 input name: images,  number_of_samples: 1
2024-04-10 20:29:04,799 file: calibration_data_set.py func: calibration_data_set line No: 100 There are 1 samples in the calibration data set.
2024-04-10 20:29:05,070 file: max_calibrater.py func: max_calibrater line No: 74 Run calibration model with max method.
2024-04-10 20:29:05,309 file: calibrater.py func: calibrater line No: 195 Calibration using batch 8
2024-04-10 20:29:06,247 file: build.py func: build line No: 335 Saving the calibrated model: ./.hb_check/calibrated_model.onnx.
2024-04-10 20:29:06,248 file: build.py func: build line No: 37 [Wed Apr 10 20:29:06 2024] End to calibrate the model.
2024-04-10 20:29:06,248 file: build.py func: build line No: 34 [Wed Apr 10 20:29:06 2024] Start to quantize the model.
2024-04-10 20:29:09,838 file: build.py func: build line No: 37 [Wed Apr 10 20:29:09 2024] End to quantize the model.
2024-04-10 20:29:10,387 file: build.py func: build line No: 465 Saving the quantized model: ./.hb_check/quantized_model.onnx.
2024-04-10 20:29:11,440 file: build.py func: build line No: 34 [Wed Apr 10 20:29:11 2024] Start to compile the model with march bayes.
2024-04-10 20:29:11,440 file: build.py func: build line No: 37 [Wed Apr 10 20:29:11 2024] End to compile the model with march bayes.
2024-04-10 20:29:11,942 file: hybrid_build.py func: hybrid_build line No: 133 Compile submodel: main_graph_subgraph_0
2024-04-10 20:29:12,664 file: hbdk_cc.py func: hbdk_cc line No: 115 hbdk-cc parameters:['--O0', '--input-layout', 'NHWC', '--output-layout', 'NHWC']
2024-04-10 20:29:12,664 file: hbdk_cc.py func: hbdk_cc line No: 116 hbdk-cc command used:hbdk-cc -f hbir -m /tmp/tmptcc2vpgr/main_graph_subgraph_0.hbir -o /tmp/tmptcc2vpgr/main_graph_subgraph_0.hbm --march bayes --progressbar --O0 --input-layout NHWC --output-layout NHWC
2024-04-10 20:29:13,449 file: tool_utils.py func: tool_utils line No: 322 consumed time 0.741772
2024-04-10 20:29:13,578 file: tool_utils.py func: tool_utils line No: 322 FPS=30.93, latency = 32328.6 us   (see ./.hb_check/main_graph_subgraph_0.html)
2024-04-10 20:29:13,785 file: node_info.py func: node_info line No: 55 The converted model node information:
==========================================================================================
Node                                             ON   Subgraph  Type                       
/model.9/m_1/MaxPool                             BPU  id(0)     HzQuantizedMaxPool         
/model.9/m_2/MaxPool                             BPU  id(0)     HzQuantizedMaxPool         
/model.9/Concat                                  BPU  id(0)     Concat                     
/model.9/cv2/conv/Conv                           BPU  id(0)     HzSQuantizedConv           
/model.9/cv2/act/Mul                             BPU  id(0)     HzLut                      
/model.10/Resize                                 BPU  id(0)     HzQuantizedResizeUpsample  
/model.6/cv2/act/Mul_output_0_Requantize         BPU  id(0)     HzRequantize               
/model.11/Concat                                 BPU  id(0)     Concat                     
/model.12/cv1/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.12/cv1/act/Mul                            BPU  id(0)     HzLut                      
/model.12/Split                                  BPU  id(0)     Split                      
/model.12/m.0/cv1/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.12/m.0/cv1/act/Mul                        BPU  id(0)     HzLut                      
/model.12/m.0/cv2/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.12/m.0/cv2/act/Mul                        BPU  id(0)     HzLut                      
/model.12/Concat                                 BPU  id(0)     Concat                     
/model.12/cv2/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.12/cv2/act/Mul                            BPU  id(0)     HzLut                      
/model.13/Resize                                 BPU  id(0)     HzQuantizedResizeUpsample  
/model.13/Resize_output_0_calibrated_Requantize  BPU  id(0)     HzRequantize               
/model.14/Concat                                 BPU  id(0)     Concat                     
/model.15/cv1/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.15/cv1/act/Mul                            BPU  id(0)     HzLut                      
/model.15/Split                                  BPU  id(0)     Split                      
/model.15/m.0/cv1/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.15/m.0/cv1/act/Mul                        BPU  id(0)     HzLut                      
/model.15/m.0/cv2/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.15/m.0/cv2/act/Mul                        BPU  id(0)     HzLut                      
/model.15/Split_output_0_Requantize              BPU  id(0)     HzRequantize               
/model.15/Split_output_1_Requantize              BPU  id(0)     HzRequantize               
/model.15/Concat                                 BPU  id(0)     Concat                     
/model.15/cv2/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.15/cv2/act/Mul                            BPU  id(0)     HzLut                      
/model.16/conv/Conv                              BPU  id(0)     HzSQuantizedConv           
/model.16/act/Mul                                BPU  id(0)     HzLut                      
/model.17/Concat                                 BPU  id(0)     Concat                     
/model.18/cv1/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.18/cv1/act/Mul                            BPU  id(0)     HzLut                      
/model.18/Split                                  BPU  id(0)     Split                      
/model.18/m.0/cv1/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.18/m.0/cv1/act/Mul                        BPU  id(0)     HzLut                      
/model.18/m.0/cv2/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.18/m.0/cv2/act/Mul                        BPU  id(0)     HzLut                      
/model.18/Concat                                 BPU  id(0)     Concat                     
/model.18/cv2/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.18/cv2/act/Mul                            BPU  id(0)     HzLut                      
/model.19/conv/Conv                              BPU  id(0)     HzSQuantizedConv           
/model.19/act/Mul                                BPU  id(0)     HzLut                      
/model.20/Concat                                 BPU  id(0)     Concat                     
/model.21/cv1/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.21/cv1/act/Mul                            BPU  id(0)     HzLut                      
/model.21/Split                                  BPU  id(0)     Split                      
/model.21/m.0/cv1/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.21/m.0/cv1/act/Mul                        BPU  id(0)     HzLut                      
/model.21/m.0/cv2/conv/Conv                      BPU  id(0)     HzSQuantizedConv           
/model.21/m.0/cv2/act/Mul                        BPU  id(0)     HzLut                      
/model.21/Split_output_0_Requantize              BPU  id(0)     HzRequantize               
/model.21/Split_output_1_Requantize              BPU  id(0)     HzRequantize               
/model.21/Concat                                 BPU  id(0)     Concat                     
/model.21/cv2/conv/Conv                          BPU  id(0)     HzSQuantizedConv           
/model.21/cv2/act/Mul                            BPU  id(0)     HzLut                      
/model.22/cv2.0/cv2.0.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.0/cv2.0.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.0/cv2.0.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.0/cv2.0.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.0/cv2.0.2/Conv                     BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.0/cv3.0.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.0/cv3.0.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.0/cv3.0.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.0/cv3.0.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.0/cv3.0.2/Conv                     BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.1/cv2.1.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.1/cv2.1.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.1/cv2.1.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.1/cv2.1.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.1/cv2.1.2/Conv                     BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.1/cv3.1.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.1/cv3.1.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.1/cv3.1.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.1/cv3.1.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.1/cv3.1.2/Conv                     BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.2/cv2.2.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.2/cv2.2.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.2/cv2.2.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv2.2/cv2.2.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv2.2/cv2.2.2/Conv                     BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.2/cv3.2.0/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.2/cv3.2.0/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.2/cv3.2.1/conv/Conv                BPU  id(0)     HzSQuantizedConv           
/model.22/cv3.2/cv3.2.1/act/Mul                  BPU  id(0)     HzLut                      
/model.22/cv3.2/cv3.2.2/Conv                     BPU  id(0)     HzSQuantizedConv
2024-04-10 20:29:13,786 file: build.py func: build line No: 37 [Wed Apr 10 20:29:13 2024] End to Horizon NN Model Convert.
2024-04-10 20:29:13,795 file: onnx2horizonrt.py func: onnx2horizonrt line No: 4128 ONNX model output num : 6
2024-04-10 20:29:13,800 file: onnx2horizonrt.py func: onnx2horizonrt line No: 3862 model_deps_info: {'hb_mapper_version': '1.18.2'}
2024-04-10 20:29:13,829 file: hb_mapper_checker.py func: hb_mapper_checker line No: 167 End model checking....
